signal_time,coin,mult,chg_at_signal,label,ob_buy_ratio,ob_depth,ask_krw,bid_krw,spread_pct
2026-06-30 16:10:56,POWR,187,-18.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,MANTA,184,-19.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,ELF,132,-5.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,CSPR,121,+70.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,AGLD,102,+7.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,TAIKO,80,+5.90,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,ZRC,63,+16.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,G,59,-7.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,HUNT,53,-8.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,CARV,44,+2.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,BICO,36,-1.10,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,TT,34,-17.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,MLK,28,-1.80,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,ALICE,27,+0.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,MAGIC,26,-8.50,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,MANTA,182,-20.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,POWR,175,-17.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,CSPR,168,+77.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,ELF,132,-4.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,AGLD,103,+7.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,TAIKO,83,+6.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,ZRC,65,+16.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,CARV,58,+2.60,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,G,53,-9.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,HUNT,53,-9.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,BICO,37,-0.80,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,MLK,28,-0.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,ALICE,27,-1.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,MAGIC,26,-9.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,TT,26,-18.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,CSPR,204,+22.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,MANTA,179,-18.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,POWR,167,-15.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,ELF,129,-6.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,AGLD,104,+7.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,TAIKO,85,+2.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,ZRC,66,+10.60,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,CARV,63,+1.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,HUNT,53,-7.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,G,51,-11.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,BICO,37,+0.60,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,MLK,29,-3.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,ALICE,26,-0.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,MAGIC,25,-6.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,CSPR,211,+13.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,MANTA,175,-19.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,POWR,159,-12.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,ELF,104,-9.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,AGLD,103,+8.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,TAIKO,87,+0.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,ZRC,67,+6.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,CARV,64,+1.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,HUNT,52,-6.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,G,50,-10.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,BICO,37,+0.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,MLK,29,-2.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,ALICE,26,-4.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,MAGIC,24,-6.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,CSPR,218,+10.10,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,MANTA,174,-20.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,POWR,156,-14.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,AGLD,102,-0.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,TAIKO,88,+1.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,ZRC,69,+10.30,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,CARV,65,+0.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,HUNT,53,-4.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,ELF,51,-8.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,G,49,-6.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,BICO,37,+0.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,MLK,28,-0.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,ALICE,24,-8.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,MAGIC,23,-4.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,CSPR,211,+0.10,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,MANTA,173,-20.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,POWR,151,-12.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,AGLD,90,+9.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,TAIKO,88,+1.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,ZRC,70,+8.60,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,CARV,66,+0.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,HUNT,53,-3.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,G,48,-7.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,ELF,42,-7.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,BICO,37,+0.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,MLK,28,-0.40,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,MAGIC,22,-4.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,ALICE,22,-7.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:18,CSPR,208,+11.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:18,MANTA,171,-19.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:18,POWR,147,-13.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,AGLD,91,+8.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,TAIKO,89,-1.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,ZRC,70,+10.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,CARV,67,-1.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,HUNT,53,-7.50,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,G,47,-11.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,ELF,41,-7.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,BICO,37,+0.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,MLK,27,-1.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,MAGIC,21,-4.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,CSPR,206,+12.90,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,MANTA,169,-17.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,POWR,141,-12.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,AGLD,91,+10.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,TAIKO,90,+0.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,ZRC,70,+9.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,CARV,67,+0.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,HUNT,52,-4.60,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,ELF,40,-4.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,G,40,-15.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,BICO,37,+0.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,MLK,27,-0.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:23,MAGIC,21,-4.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,CSPR,213,+13.10,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,MANTA,167,-17.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,POWR,137,-13.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,AGLD,91,+11.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,TAIKO,90,-0.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,ZRC,70,+9.10,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,CARV,68,-0.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,HUNT,52,-7.60,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,ELF,39,-7.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,BICO,37,-1.60,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,G,34,-11.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,MLK,27,-1.30,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:11:26,MAGIC,20,-4.10,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,CSPR,216,+18.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,MANTA,167,-16.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,POWR,135,-13.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,AGLD,91,+10.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,TAIKO,91,+0.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,ZRC,70,+7.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,CARV,69,-0.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,HUNT,52,-5.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,ELF,38,-7.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,BICO,38,-4.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,G,31,-11.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 20:41:30,MLK,27,-1.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:33,CSPR,217,+12.40,중립,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:33,MANTA,170,-16.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:33,POWR,130,-13.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,TAIKO,91,+1.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,AGLD,91,+6.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,ZRC,71,+4.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,CARV,70,-3.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,HUNT,51,-6.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,BICO,37,-5.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,ELF,37,-6.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,G,28,-13.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:11:34,MLK,27,-3.10,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:37,CSPR,219,+12.80,중립,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:37,MANTA,167,-16.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:37,POWR,127,-10.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:37,AGLD,92,+9.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:37,TAIKO,92,+0.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:38,CARV,71,-3.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:38,ZRC,71,+4.80,중립,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:38,HUNT,52,-8.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:38,BICO,38,-4.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:38,ELF,36,-6.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:38,MLK,27,-2.50,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 21:41:38,G,21,-14.80,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 10:37:11,IN,28,-13.30,매집?,0.500,+0.000,0,0,0.0000
2026-07-02 10:37:11,AHT,20,+0.80,중립,0.500,+0.000,0,0,0.0000
2026-07-02 10:40:12,TAIKO,240,+49.80,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 10:40:13,MANTA,89,-6.00,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 10:40:13,CARV,29,+4.00,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 10:46:15,CSPR,45,+9.20,중립,0.500,+0.000,0,0,0.0000
2026-07-02 10:58:22,BTT,21,+0.00,중립,0.500,+0.000,0,0,0.0000
2026-07-02 11:07:27,IN,27,-13.40,매집?,0.500,+0.000,0,0,0.0000
2026-07-02 11:07:27,AHT,20,+0.80,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:10:29,TAIKO,236,+51.70,중립,0.500,+0.000,0,0,0.0000
2026-07-02 11:10:29,MANTA,88,-6.80,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:10:29,CARV,28,+3.20,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:16:32,CSPR,45,+7.60,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:28:39,BTT,21,-20.00,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:34:42,POWR,20,+2.60,중립,0.500,+0.000,0,0,0.0000
2026-07-02 11:37:44,IN,26,-10.40,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:37:44,AHT,21,-0.30,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:40:45,TAIKO,236,+52.20,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:40:45,MANTA,87,-7.80,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:40:45,CARV,27,+2.70,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:46:49,CSPR,45,+3.90,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 11:58:56,BTT,21,-20.00,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:04:59,POWR,24,-0.40,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:08:01,IN,26,-10.30,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:08:01,AHT,21,+0.30,중립,0.500,+0.000,0,0,0.0000
2026-07-02 12:11:02,TAIKO,236,+56.20,매집?,0.500,+0.000,0,0,0.0000
2026-07-02 12:11:03,MANTA,87,-9.10,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:11:03,CARV,27,+2.90,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:17:06,CSPR,44,+7.20,중립,0.500,+0.000,0,0,0.0000
2026-07-02 12:29:12,BTT,21,+0.00,중립,0.500,+0.000,0,0,0.0000
2026-07-02 12:35:16,POWR,25,+0.10,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:38:17,IN,25,-14.90,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:38:17,AHT,20,-1.70,매집?,0.500,+0.000,0,0,0.0000
2026-07-02 12:41:19,TAIKO,237,+63.80,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:41:19,MANTA,86,-7.70,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:41:19,CARV,27,+2.30,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 12:47:23,CSPR,44,+5.50,중립,0.500,+0.000,0,0,0.0000
2026-07-02 12:59:29,BTT,21,+25.00,중립,0.500,+0.000,0,0,0.0000
2026-07-02 13:05:32,POWR,26,+1.30,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:08:34,IN,24,-14.10,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:11:35,TAIKO,236,+71.80,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:11:35,MANTA,85,-6.40,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:11:35,CARV,24,+2.10,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:17:38,CSPR,44,+3.40,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:29:44,BTT,20,+0.00,중립,0.500,+0.000,0,0,0.0000
2026-07-02 13:35:47,POWR,25,+0.50,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:38:49,IN,24,-13.50,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:41:51,TAIKO,236,+72.20,중립,0.500,+0.000,0,0,0.0000
2026-07-02 13:41:51,MANTA,84,-6.50,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:41:51,CARV,23,+2.50,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 13:47:55,CSPR,45,+5.50,중립,0.500,+0.000,0,0,0.0000
2026-07-02 14:00:02,BTT,20,+0.00,중립,0.500,+0.000,0,0,0.0000
2026-07-02 14:06:05,POWR,26,-2.20,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 14:09:07,IN,24,-15.30,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 14:12:08,TAIKO,239,+48.60,중립,0.500,+0.000,0,0,0.0000
2026-07-02 14:12:08,MANTA,84,-4.90,던짐?,0.500,+0.000,0,0,0.0000
2026-07-02 14:12:08,CARV,24,+3.10,던짐?,0.500,+0.000,0,0,0.0000
